COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,Disaster Risk Reduction,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK
Kenya,KEN,4.1,6,4,0,5.6,4.2,9.3,7,7,5.8,5.2,6.5,3.6,5.1,8.4,7.4,4.5,2.4,7.1,5.7,7.3,6.3,4.7,6.6,5.7,6.7,8.3,7,7.3,6.6,6.2
Haiti,HTI,6.1,9,0,7.7,3.3,6.1,5.2,0,3.6,5,6,8.3,8.3,7.1,0,3.3,4.1,0.7,9.1,5.3,3.1,5.4,6.7,8.1,7.4,8.1,8.3,9.9,8.8,8.2,6.1
Bangladesh,BGD,8.7,10,10,9.8,3.1,9.1,8.7,0,6.1,7.9,5.1,4.4,0.8,3.8,6.6,2.8,6.2,1.4,4.2,3.9,5.4,4.7,3.2,7,5.1,7.3,5.6,6.6,6.5,5.8,6
Niger,NER,0,6.1,0,0,6.3,3.1,6.5,0,4.5,3.9,9.6,5.7,6,7.7,5.4,4.7,8.2,5.4,3.9,5.8,5.6,6.8,5.7,6.5,6.1,9.5,9.8,8.9,9.4,8.2,6
Palestine,PSE,6.3,1.6,1.3,0,1.1,2.4,8.6,9,9,6.8,4.1,2.6,10,5.2,8.3,no estimate,1.7,0.2,8.1,4.4,6.8,6,6.3,6.6,6.4,3.8,3,no estimate,3.4,5.1,5.9
Mozambique,MOZ,2.4,8.6,3.9,5.7,5.1,5.6,4.2,0,2.9,4.4,7.7,7,6.5,7.2,2.1,8.9,5.4,0.8,6.5,6.1,4.4,6,2.5,6.6,4.6,8.7,9.5,8.1,8.8,7.2,5.7
India,IND,7.9,10,7.8,8.3,5,8.2,10,0,7,7.6,5.2,4.9,0.1,3.8,6.2,1.6,6.8,0.2,4,3.6,5,4.4,3.5,5.9,4.7,6.2,3.4,8.1,5.9,5.3,5.7
Libya,LBY,5.5,2.4,8,0,3.3,4.5,8.5,8,8,6.6,2.5,2.9,1.2,2.3,7.9,1.2,1.2,0,1,0.9,5.4,4,no estimate,8.2,8.2,3.2,6.4,4.7,4.8,6.9,5.7
Colombia,COL,8.2,8.3,5.1,2.1,1.4,5.8,8.5,7,7,6.4,2.2,6.9,0.5,3,10,0.6,1,0.1,3.3,1.4,7.8,5.9,3.1,5.7,4.4,2.9,4.4,5.1,4.2,4.3,5.5
Burundi,BDI,3.9,4,0,0,4.3,2.7,6.6,0,4.6,3.7,8.1,4.4,6.1,6.7,6.5,4.1,7.1,0.1,9.9,6.7,6.6,6.6,6,7.5,6.8,7.2,6,5.8,6.3,6.5,5.4
Tanzania,TZA,4.4,5.5,4.7,0,4.8,4.1,5.5,0,3.9,4,6.4,5.3,4.5,5.6,5.2,6.7,3.8,0.6,7.7,5.3,5.3,5.5,4.3,6.5,5.4,7.6,9.5,6.8,8,6.9,5.3
